School,Public,Location,Earn,SAT,Price,need_fraction
Washington and Lee University,0,"Lexington, VA",53900,1390,62500,0.41
Salve Regina University,0,"Newport, RI",48500,1110,53300,0.77
Stetson University,0,"DeLand, FL",39400,1170,58000,0.73
Mills College,NA,"Oakland, CA",47500,1150,61700,0.81
University of New England,0,"Biddeford, ME",46900,1050,53000,NA
University of California-Los Angeles,1,"Los Angeles, CA",52200,1300,34300,0.54
Georgia Southern University,1,"Statesboro, GA",44300,1110,23700,0.57
Quinnipiac University,0,"Hamden, CT",49500,1100,59700,0.59
Marquette University,0,"Milwaukee, WI",51200,1180,52300,0.56
Bowdoin College,0,"Brunswick, ME",48900,1440,64100,0.45
California State Polytechnic University-Pomona,1,"Pomona, CA",50800,NA,24900,0.54
Niagara University,0,"Niagara University, NY",39700,1030,45300,0.75
Wheeling Jesuit University,0,"Wheeling, WV",38100,NA,38100,0.45
Saint Mary's College,0,"Notre Dame, IN",45200,1100,51300,0.57
Seton Hall University,0,"South Orange, NJ",49400,1120,53900,0.37
CUNY Hunter College,NA,"New York, NY",45200,1160,21500,0.68
University of North Carolina at Chapel Hill,1,"Chapel Hill, NC",46500,1310,26700,0.43
Saint Edward's University,0,"Austin, TX",40600,NA,52600,0.6
Georgia Institute of Technology-Main Campus,1,"Atlanta, GA",63800,1360,25700,0.39
John Carroll University,0,"University Heights, OH",45400,1090,52100,0.72
Western Kentucky University,NA,"Bowling Green, KY",41600,NA,19900,0.44
Houghton College,0,"Houghton, NY",35200,1110,42300,0.75
Ball State University,1,"Muncie, IN",39500,1070,23700,0.4
Elizabethtown College,0,"Elizabethtown, PA",41300,1120,54000,0.75
Point Park University,0,"Pittsburgh, PA",38700,990,42700,0.9
Georgia College & State University,1,"Milledgeville, GA",41500,1140,25600,0.22
Westfield State University,1,"Westfield, MA",45300,1000,22600,0.44
Northern Illinois University,1,"Dekalb, IL",48200,1020,29400,0.59
Simpson College,0,"Indianola, IA",42800,1220,46800,0.82
University of Richmond,0,"University of Richmond, VA",50000,1310,62000,0.4
Salem College,0,"Winston Salem, NC",33300,NA,44400,NA
Jackson State University,1,"Jackson, MS",38900,990,22100,0.75
California Polytechnic State University-San Luis Obispo,1,"San Luis Obispo, CA",58100,1240,25700,0.31
Bellarmine University,0,"Louisville, KY",42300,1080,55500,0.75
Wentworth Institute of Technology,0,"Boston, MA",56100,1110,51900,NA
George Washington University,0,"Washington, DC",48900,1300,65800,0.45
West Virginia University,1,"Morgantown, WV",47700,1040,20400,0.38
University of Denver,0,"Denver, CO",48100,1210,59800,0.41
Texas State University-San Marcos,1,"San Marcos, TX",44800,NA,21500,0.48
University of California-Riverside,1,"Riverside, CA",46300,NA,34000,0.76
Purdue University-Main Campus,1,"West Lafayette, IN",56200,1200,23900,0.3
Western Carolina University,1,"Cullowhee, NC",39300,NA,19700,0.64
St Catherine University,0,"Saint Paul, MN",42500,1070,50600,0.69
College of the Holy Cross,0,"Worcester, MA",49500,NA,62100,0.46
North Carolina Central University,1,"Durham, NC",36300,860,19600,0.77
The College of Wooster,0,"Wooster, OH",38600,NA,57700,0.59
University of Central Florida,1,"Orlando, FL",42700,1180,21700,0.48
Saint Johns University,0,"Collegeville, MN",47400,1100,52400,0.66
University of Notre Dame,0,"Notre Dame, IN",58700,1430,65000,0.43
Pomona College,0,"Claremont, CA",49200,1460,65200,0.56
Hope International University,0,"Fullerton, CA",40000,NA,42500,0.57
Vassar College,0,"Poughkeepsie, NY",44500,NA,66000,0.58
University of Southern Mississippi,1,"Hattiesburg, MS",39300,1010,21400,0.51
Worcester Polytechnic Institute,0,"Worcester, MA",64100,1380,61900,0.66
College for Creative Studies,0,"Detroit, MI",46200,1150,53700,NA
Sam Houston State University,1,"Huntsville, TX",42900,1010,21100,0.56
Slippery Rock University of Pennsylvania,1,"Slippery Rock, PA",39800,1010,23500,0.43
Knox College,0,"Galesburg, IL",40700,1290,53200,0.79
Lewis University,0,"Romeoville, IL",45800,1030,42300,0.73
Hampden-Sydney College,0,"Hampden-Sydney, VA",55000,NA,56500,0.64
Lindsey Wilson College,0,"Columbia, KY",28300,1040,39000,0.92
Carroll College,0,"Helena, MT",47300,1120,44100,0.63
University of Wyoming,1,"Laramie, WY",49000,1110,19400,0.33
Misericordia University,0,"Dallas, PA",45600,1060,45000,0.79
Franciscan University of Steubenville,0,"Steubenville, OH",43600,1160,37000,0.61
University of Iowa,1,"Iowa City, IA",46800,1230,21700,0.32
Wagner College,0,"Staten Island, NY",48800,NA,58600,0.64
Carlow University,0,"Pittsburgh, PA",40000,950,41200,NA
The College of Saint Scholastica,0,"Duluth, MN",47400,940,46300,0.62
The Master's College and Seminary,0,"Santa Clarita, CA",40900,1100,45400,0.76
Western Washington University,1,"Bellingham, WA",46800,1110,24200,0.38
University of Dubuque,0,"Dubuque, IA",35300,910,39100,0.88
Eckerd College,0,"Saint Petersburg, FL",42800,1120,55700,0.86
Winona State University,1,"Winona, MN",42800,1150,21700,0.41
Washington University in St Louis,NA,"Saint Louis, MO",55900,1490,69100,0.39
Central Michigan University,1,"Mount Pleasant, MI",42100,990,23400,0.48
University of Missouri-Kansas City,NA,"Kansas City, MO",44800,NA,23600,0.6
University of North Carolina Wilmington,1,"Wilmington, NC",40700,1180,22300,0.47
Mount Mary University,0,"Milwaukee, WI",39300,1050,41900,0.82
Edinboro University of Pennsylvania,1,"Edinboro, PA",37500,930,21900,0.6
Mount Mercy University,0,"Cedar Rapids, IA",42900,1070,41700,0.74
Westminster College-New Wilmington,0,"New Wilmington, PA",37900,NA,47700,0.79
University of Connecticut,1,"Storrs, CT",52400,NA,29400,0.41
Susquehanna University,0,"Selinsgrove, PA",43300,1130,55500,0.75
Denison University,0,"Granville, OH",46100,1260,61100,0.53
Chapman University,0,"Orange, CA",45300,1210,64300,0.53
Elmhurst College,0,"Elmhurst, IL",43800,1020,49200,0.72
Lakeland College,0,"Plymouth, WI",43700,900,38100,0.71
University of Central Missouri,1,"Warrensburg, MO",40800,1110,19400,0.39
Northwest University,0,"Kirkland, WA",47000,1060,39200,0.79
North Dakota State University-Main Campus,1,"Fargo, ND",49600,1130,20700,0.33
Massachusetts Maritime Academy,1,"Buzzards Bay, MA",58400,1060,23600,0.44
Savannah College of Art and Design,0,"Savannah, GA",40400,1060,54700,0.34
University of Tulsa,0,"Tulsa, OK",56100,1270,54200,0.15
William Jewell College,0,"Liberty, MO",41600,1160,46600,0.68
Piedmont College,0,"Demorest, GA",36000,1000,35800,0.8
Stevens Institute of Technology,0,"Hoboken, NJ",65200,1300,63900,0.53
Nyack College,0,"Nyack, NY",37600,NA,39300,0.82
Lasell College,0,"Newton, MA",40300,980,49200,0.82
Virginia State University,1,"Petersburg, VA",38800,810,22000,0.72
Harding University,1,"Searcy, AR",42100,1120,28800,0.52
Neumann University,0,"Aston, PA",44500,860,42600,0.73
Augustana College,0,"Rock Island, IL",40300,1020,50800,0.76
University of Rochester,0,"Rochester, NY",53000,1350,65800,0.51
Willamette University,0,"Salem, OR",43300,1200,59400,0.61
Mansfield University of Pennsylvania,1,"Mansfield, PA",40400,960,25400,0.57
Bethune-Cookman University,1,"Daytona Beach, FL",44200,820,28200,0.94
California Institute of the Arts,0,"Valencia, CA",39300,1340,64900,0.67
Clemson University,1,"Clemson, SC",53100,1250,30300,0.37
Ithaca College,0,"Ithaca, NY",43700,1300,59600,0.66
Cornell College,0,"Mount Vernon, IA",39200,1180,52600,0.76
Sarah Lawrence College,0,"Bronxville, NY",45000,1350,69100,0.61
Kenyon College,0,"Gambier, OH",45300,1320,64700,0.39
Morehouse College,0,"Atlanta, GA",50200,NA,49200,0.69
Saint Francis University,0,"Loretto, PA",44300,1020,48700,0.45
Northwestern College-Orange City,0,"Orange City, IA",40200,1040,42300,0.73
Arizona Christian University,0,"Phoenix, AZ",36600,1040,37500,0.77
Guilford College,0,"Greensboro, NC",37600,1070,49100,0.86
Grand Valley State University,1,"Allendale, MI",41200,1090,22400,0.5
Missouri University of Science and Technology,1,"Rolla, MO",63100,1250,22700,0.53
SUNY at Albany,1,"Albany, NY",46300,1100,24000,0.54
Muhlenberg College,0,"Allentown, PA",48400,1240,59300,0.5
Emerson College,0,"Boston, MA",43500,NA,58100,0.46
Miles College,0,"Fairfield, AL",31300,1030,23500,0.99
Lake Forest College,0,"Lake Forest, IL",46300,1130,55700,NA
Tulane University of Louisiana,0,"New Orleans, LA",45000,1320,65700,0.36
Centre College,0,"Danville, KY",39600,NA,51400,0.58
Southern Illinois University Edwardsville,1,"Edwardsville, IL",46800,1060,24600,0.48
University of Minnesota-Duluth,1,"Duluth, MN",47400,1080,24300,0.52
Rhode Island School of Design,0,"Providence, RI",46100,1240,66000,0.31
SUNY at Binghamton,1,"Vestal, NY",49400,1300,24600,0.41
Robert Morris University,0,"Moon Township, PA",45400,1040,43600,0.74
Trinity College,0,"Hartford, CT",53400,1250,66900,0.39
University of Scranton,0,"Scranton, PA",48400,1120,58900,0.71
Gettysburg College,0,"Gettysburg, PA",47400,1290,62800,0.59
Case Western Reserve University,0,"Cleveland, OH",58200,1380,62000,0.48
Central Connecticut State University,1,"New Britain, CT",47100,NA,25400,0.49
University of California-Santa Barbara,1,"Santa Barbara, CA",49700,1220,36200,0.59
Furman University,0,"Greenville, SC",45000,1230,61400,0.43
Western Illinois University,1,"Macomb, IL",42100,1070,26300,0.6
Allegheny College,0,"Meadville, PA",39600,1180,56200,0.74
Linfield College-McMinnville Campus,0,"McMinnville, OR",43900,1090,51800,0.61
Belmont University,0,"Nashville, TN",40300,1170,47200,0.44
Maine Maritime Academy,1,"Castine, ME",66000,1030,26900,0.61
University of North Carolina at Greensboro,1,"Greensboro, NC",39200,1030,19600,0.6
Baldwin Wallace University,0,"Berea, OH",41100,1080,43200,0.8
Otis College of Art and Design,0,"Los Angeles, CA",44800,1000,58800,0.65
Rockhurst University,0,"Kansas City, MO",47700,1150,49500,0.47
California Maritime Academy,1,"Vallejo, CA",57100,1080,22900,0.39
Northwestern University,NA,"Evanston, IL",56400,1470,68200,0.43
Juniata College,0,"Huntingdon, PA",42600,1290,53300,0.69
Millikin University,0,"Decatur, IL",41200,1040,43700,0.74
Goshen College,0,"Goshen, IN",35900,1100,43900,0.71
Boston College,0,"Chestnut Hill, MA",55200,NA,65600,0.37
California State University-Fullerton,1,"Fullerton, CA",43200,1030,25400,0.51
Arcadia University,0,"Glenside, PA",36300,1090,55700,0.75
South Dakota State University,1,"Brookings, SD",44500,NA,26000,0.27
Auburn University,1,"Auburn University, AL",49000,1170,30300,0.28
University of Maryland-Baltimore County,1,"Baltimore, MD",50800,NA,26300,0.4
Syracuse University,0,"Syracuse, NY",50600,1160,61700,0.52
DePauw University,NA,"Greencastle, IN",47500,1200,58200,0.55
Boston University,0,"Boston, MA",50900,1290,66200,0.38
Monmouth College,0,"Monmouth, IL",42500,1010,45600,0.86
Dartmouth College,0,"Hanover, NH",60200,1460,67800,0.49
The University of the Arts,0,"Philadelphia, PA",42000,1010,60200,NA
York College Pennsylvania,1,"York, PA",45100,1040,31900,0.45
Concordia College at Moorhead,0,"Moorhead, MN",39200,1140,46300,0.72
College of Saint Benedict,0,"Saint Joseph, MN",41800,1060,53900,0.69
University of Virginia-Main Campus,NA,"Charlottesville, VA",55400,NA,28100,0.27
Rochester Institute of Technology,0,"Rochester, NY",56700,1220,51400,0.07
Saint Norbert College,0,"De Pere, WI",41400,1220,45300,0.7
University of Utah,1,"Salt Lake City, UT",48400,NA,23700,0.12
Virginia Commonwealth University,1,"Richmond, VA",43700,1110,30200,0.45
Rose-Hulman Institute of Technology,0,"Terre Haute, IN",66700,1300,61100,0.55
Monmouth University,0,"West Long Branch, NJ",45700,1060,50300,0.37
University of Michigan-Ann Arbor,1,"Ann Arbor, MI",59000,NA,28100,0.3
Immaculata University,0,"Immaculata, PA",47600,950,53400,NA
Wheelock College,0,"Boston, MA",37100,990,51400,0.82
San Jose State University,1,"San Jose, CA",54600,1030,26300,0.51
Bridgewater College,0,"Bridgewater, VA",37300,1030,46700,0.81
Cooper Union for the Advancement of Science and Art,0,"New York, NY",63200,1360,62800,0.32
Hamline University,0,"Saint Paul, MN",43800,1110,49800,0.83
State University of New York at New Paltz,1,"New Paltz, NY",40300,1130,22900,0.33
Bennington College,0,"Bennington, VT",36400,1260,66600,0.71
George Mason University,1,"Fairfax, VA",51500,1150,27100,0.42
Haverford College,0,"Haverford, PA",45500,1400,66800,0.49
Cleveland Institute of Art,0,"Cleveland, OH",42200,1080,56500,0.82
Providence College,0,"Providence, RI",50400,1160,61500,0.52
Huntington University,0,"Huntington, IN",32200,NA,37800,0.84
University of Kansas,1,"Lawrence, KS",45900,1260,25100,0.29
DeSales University,0,"Center Valley, PA",46600,1060,51700,0.76
Bryant University,0,"Smithfield, RI",51700,1140,57600,0.48
Williams College,0,"Williamstown, MA",53100,1450,66600,0.5
University of Illinois at Urbana-Champaign,1,"Champaign, IL",56800,1360,30800,0.37
Reed College,0,"Portland, OR",45200,1380,64400,0.49
Bluefield College,0,"Bluefield, VA",46400,910,37700,0.88
Davidson College,0,"Davidson, NC",50000,1340,63400,0.48
College of Mount Saint Vincent,0,"Bronx, NY",39300,920,49100,0.82
University of Georgia,1,"Athens, GA",47000,1240,23600,0.4
Santa Clara University,0,"Santa Clara, CA",60600,1290,64100,0.33
SUNY College at Oneonta,1,"Oneonta, NY",42200,1100,23400,0.59
Rensselaer Polytechnic Institute,0,"Troy, NY",63700,1390,66800,0.63
